OID_;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
203148;08230324221011907190;08;2;26;085;2023;03;17;6;3;5;3;0;0;1;1;0;0;0;1;490861,915799999609590;5455520,495999999344349;8,874428977000036;49,252385624000055;1
203150;08230324121100904850;08;1;25;026;2023;03;19;6;3;0;7;2;0;1;0;0;0;0;0;493204,922699999995530;5442610,351800000295043;8,906843692000052;49,136285508000071;1
203152;08230324118400905900;08;1;18;048;2023;03;14;6;3;5;3;0;0;1;1;0;0;0;0;513747,703999999910593;5416061,850999999791384;9,187572633000059;48,897351116000038;1
203153;08230324118000917700;08;1;18;079;2023;03;17;6;2;5;2;0;0;1;1;0;0;0;0;510385,291899999603629;5420968,107599999755621;9,141821206000031;48,941551895000032;1
203156;08230324116100917680;08;1;16;014;2023;03;11;6;3;6;7;0;0;0;1;1;0;0;0;528617,501600000075996;5395547,978399999439716;9,389021440000022;48,712305737000065;1
203159;08230323436200898260;08;4;36;064;2023;03;06;5;3;0;1;1;0;1;0;0;0;0;0;546351,966699999757111;5292402,364000000059605;9,618791883000029;47,783314489000077;1
203163;08230323335200872220;08;3;35;063;2023;03;10;5;3;0;1;0;0;1;0;0;0;0;0;497687,561200000345707;5287272,217700000852346;8,969155654000076;47,738819473000035;1
203165;08230323316100904460;08;3;16;011;2023;03;14;5;3;5;3;0;0;1;1;0;0;0;0;413268,648599999956787;5330697,164300000295043;7,834515526000075;48,123620723000045;1
203166;08230323311010902190;08;3;11;000;2023;03;08;5;3;5;3;0;1;1;0;0;0;0;1;410399,803000000305474;5315678,099999999627471;7,799119091000023;47,988125132000050;1
203167;08230323311010874960;08;3;15;064;2023;03;13;5;3;5;2;0;0;1;1;0;0;0;0;421914,604799999855459;5313059,337799999862909;7,953895472000056;47,966077122000058;1
203168;08230323231302900620;08;2;31;000;2023;03;13;5;3;5;3;0;0;1;1;0;0;0;0;477949,623700000345707;5415880,314200000837445;8,699157460000038;48,895478189000073;1
203169;08230323231102882520;08;2;36;028;2023;03;15;5;3;0;7;0;0;1;0;0;0;0;1;493932,718899999745190;5422867,292400000616908;8,917117027000074;48,958693791000030;1
203171;08230323222301901510;08;2;22;000;2023;03;15;5;3;5;3;0;0;1;1;0;0;0;0;466667,692300000227988;5484601,297599999234080;8,539533326000026;49,513119855000070;1
203174;08230323212402871120;08;2;12;000;2023;03;14;5;3;1;5;0;1;1;1;0;0;0;0;456214,575000000186265;5425963,539000000804663;8,401546327000062;48,985024216000056;1
203175;08230323212010899850;08;2;12;000;2023;03;07;5;3;5;2;0;1;1;1;0;0;0;0;455128,341900000348687;5428115,802100000903010;8,386462999000059;49,004306094000071;1
203181;08230323121400903130;08;1;25;056;2023;03;08;5;3;5;3;0;0;1;0;0;0;0;0;510711,710199999623001;5435665,078500000759959;9,146666531000051;49,073754035000036;1
203182;08230323119400889200;08;1;19;090;2023;03;13;5;3;0;7;0;0;1;0;0;0;0;0;531715,560800000093877;5406848,439699999988079;9,432005730000071;48,813811782000073;1
203183;08230323119400872030;08;1;19;090;2023;03;07;5;3;4;6;1;0;1;1;0;0;0;0;530336,292799999937415;5407109,245699999853969;9,413238174000071;48,816226781000069;1
203184;08230323119300898430;08;1;19;067;2023;03;06;5;3;6;7;1;0;0;1;1;0;0;0;538656,156000000424683;5406112,135999999940395;9,526472198000022;48,806795289000036;1
203185;08230323116400890620;08;1;16;033;2023;03;17;5;3;6;2;0;0;0;1;1;0;0;0;533359,102599999867380;5387719,730100000277162;9,452844366000022;48,641648407000048;1
203186;08230323116010885760;08;1;16;058;2023;03;12;5;3;6;7;0;0;0;1;1;0;0;0;534194,037299999967217;5395161,681500000879169;9,464793517000032;48,708549821000076;1
