OID_;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstige;ULICHTVERH;IstGkfz;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;UIDENTSTLAE;IstStrassenzustand
181574;08;4;35;059;2021;04;18;6;3;0;7;1;0;0;0;0;0;0;514147,613428748212755;5288932,644709199666977;9,188760706000039;47,753608232000033;08210409435200695770;0
181577;08;3;11;000;2021;04;18;7;2;5;3;1;0;0;0;0;0;0;417920,375203469768167;5314776,939179347828031;7,900066897000045;47,981028149000053;08210424311010744750;0
181579;08;3;15;047;2021;04;15;5;3;5;3;1;1;0;0;0;0;0;416082,990647104568779;5320702,226351186633110;7,874289914000030;48,034090309000078;08210408311010704400;0
181582;08;1;27;014;2021;04;05;5;3;5;2;1;1;0;0;0;2;0;577150,187218798324466;5442411,099089704453945;10,057549481000024;49,129687206000028;08210401127202689290;0
181584;08;1;11;000;2021;04;15;3;3;5;3;1;1;0;0;0;0;0;515566,558000000193715;5395322,778999522328377;9,211602434000042;48,710742249000077;08210420111230721710;0
181585;08;2;25;109;2021;04;17;2;3;0;1;1;0;0;0;0;0;0;526539,668276919052005;5492641,355964398011565;9,367174182000042;49,585772138000038;08210426225200732370;0
181589;08;3;36;091;2021;04;09;4;3;0;5;1;1;0;0;0;0;0;394299,508374572731555;5271658,702865079045296;7,594115876000046;47,589721735000069;08210414336400703590;0
181590;08;2;22;000;2021;04;19;5;3;0;1;1;0;0;0;0;0;0;461500,954653304070234;5481540,393237408250570;8,468459117000066;49,485282637000068;08210429222014746730;0
181591;08;3;11;000;2021;04;20;6;3;5;3;1;0;0;0;1;0;0;409895,078238921239972;5316877,412549762055278;7,792104208000069;47,998842271000058;08210423311010755620;0
181593;08;1;36;027;2021;04;13;5;3;2;6;1;1;0;0;0;0;0;553026,120413177646697;5420518,358240736648440;9,724035349000076;48,935320801000046;08210401136300691020;0
181594;08;3;35;097;2021;04;16;1;3;6;4;1;0;1;0;0;0;0;485661,977716530673206;5296574,744846589863300;8,808446348000075;47,822363599000028;08210411335300709440;0
181595;08;1;11;000;2021;04;14;4;3;5;2;1;1;0;0;0;0;0;512065,282913896255195;5402708,325580585747957;9,164224766000075;48,777260062000039;08210428111500740000;0
181596;08;1;11;000;2021;04;07;3;3;2;6;1;0;0;0;0;0;0;515668,148744378238916;5403506,425106428563595;9,213294732000065;48,784359377000044;08210420111240716900;0
181598;08;2;22;000;2021;04;18;3;3;1;6;1;1;0;0;0;1;0;460724,365657891146839;5482751,788338828831911;8,457617191000054;49,496128702000078;08210406222200755420;0
181600;08;4;36;064;2021;03;21;2;3;0;1;1;0;0;0;0;0;0;545850,010475763119757;5292197,085029896348715;9,612069558000030;47,781503518000079;08210329436200853300;0
181604;08;4;36;064;2021;03;17;4;3;0;1;1;0;0;0;0;0;0;544846,350532569922507;5292027,726672403514385;9,598654583000041;47,780050455000037;08210331436200674910;0
181606;08;1;21;000;2021;04;19;1;3;1;1;1;1;0;0;0;0;0;517781,532822832465172;5441629,262241393327713;9,243729564000034;49,127240530000051;08210404121200688500;0
181609;08;4;37;082;2021;04;17;5;3;0;7;1;0;0;0;0;0;0;513898,594285560771823;5344300,261455381289124;9,187232294000069;48,251763598000082;08210422437000745720;0
181611;08;4;21;000;2021;04;13;7;3;0;1;1;0;0;0;0;0;0;573966,971000007353723;5361000,359999507665634;9,999286866000034;48,397821826000040;08210410421200696110;0
181613;08;2;31;000;2021;05;16;2;3;6;4;0;1;1;0;0;0;0;478352,093953114934266;5415911,750421473756433;8,704646787000058;48,895775172000072;08210503231000793890;0
181615;08;1;15;045;2021;04;13;3;3;5;3;1;0;0;0;0;0;0;500568,327391019091010;5396125,226630071178079;9,007726634000051;48,718155163000063;08210427115400768730;0
181622;08;3;17;001;2021;04;19;6;3;1;1;1;1;0;0;0;0;0;429249,005922247655690;5387492,661509497091174;8,039660315000049;48,636492227000076;08210423317100757670;0
181623;08;2;12;000;2021;04;11;2;3;0;7;1;0;0;0;0;0;0;455871,925041788257658;5428680,029282711446285;8,396568203000072;49,009434990000045;08210426212302731620;0
