OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
22085;08;2;12;000;2019;01;14;2;3;1;5;0;1;1;0;0;0;0;455816,940426166170000;5428232,792429575700000;8,395865029000049;49,005408113000044;0
22088;08;3;16;051;2019;01;22;7;3;3;6;2;1;1;0;0;0;0;400825,695557313040000;5337739,660899139900000;7,665711214000055;48,185147485000073;0
22128;08;2;12;000;2019;01;09;7;3;5;3;0;1;1;0;0;0;0;455114,458407263270000;5427754,513426927800000;8,386313112000039;49,001055258000065;1
22134;08;3;17;089;2019;01;10;7;2;6;4;0;0;1;1;0;0;0;431534,121930966150000;5375970,983690202200000;8,072571374000063;48,533108172000027;1
22135;08;4;16;036;2019;01;12;5;3;6;7;0;0;1;1;0;0;0;495467,138463538140000;5368926,885861614700000;8,938670864000073;48,473455993000073;1
22146;08;2;12;000;2019;01;07;4;3;4;6;0;1;0;0;0;0;0;455777,723052482120000;5431321,908379171000000;8,394992119000051;49,033192163000081;0
22154;08;1;36;088;2019;01;07;4;2;6;4;2;0;1;1;0;0;0;582364,873006005770000;5410746,836975963800000;10,122600218000059;48,844225228000028;0
22160;08;2;22;000;2019;01;11;5;2;6;2;0;0;1;1;0;0;0;463007,092407752760000;5486363,475597443100000;8,488801051000053;49,528757360000043;1
22161;08;1;18;050;2019;01;12;4;3;6;2;0;0;1;1;0;0;0;506066,565000000410000;5416681,496000001200000;9,082781146000059;48,903048134000073;0
22169;08;1;11;000;2019;01;15;4;2;6;4;0;0;1;1;0;0;0;515312,191899583670000;5399429,735850507400000;9,208297302000062;48,747694656000078;0
22170;08;1;11;000;2019;01;16;4;2;5;3;1;1;1;0;0;0;0;514856,690941479990000;5406113,233452113300000;9,202342502000022;48,807829825000056;0
22171;08;4;36;081;2019;01;18;3;2;0;1;2;1;0;0;0;0;0;557726,803945197720000;5279056,877248592700000;9,768862655000021;47,662328639000066;2
22180;08;4;36;064;2019;01;17;4;3;6;2;2;0;1;1;0;0;0;546058,987883634870000;5293482,307241763900000;9,614995507000060;47,793051758000047;1
22181;08;3;35;079;2019;01;14;3;3;6;4;0;0;1;1;0;0;0;500398,169898247350000;5299665,463541925000000;9,005322344000035;47,850331857000072;0
22184;08;3;26;012;2019;01;07;3;3;6;4;2;0;1;1;0;0;0;462707,501170995650000;5309967,767990730700000;8,500629835000041;47,941939782000077;1
22187;08;3;17;073;2019;01;12;3;3;5;3;0;1;1;0;0;0;0;411743,246174578550000;5349038,370549080900000;7,810206444000073;48,288388862000033;0
22197;08;2;31;000;2019;01;12;3;2;6;4;0;0;1;1;0;0;0;477798,134852846150000;5415679,194861888900000;8,697101594000060;48,893663579000076;0
22217;08;1;35;019;2019;01;15;3;3;6;4;0;1;0;1;0;0;0;584754,523453198370000;5392342,526833711200000;10,151373194000030;48,678372096000032;0
22219;08;1;27;014;2019;01;08;3;2;0;1;0;1;0;0;0;0;0;575522,573660998610000;5443050,609199818200000;10,035362335000059;49,135641108000073;2
22225;08;4;26;070;2019;01;15;4;3;6;6;0;0;1;1;0;0;0;565230,921571983020000;5342320,971043072600000;9,878389947000073;48,230753407000066;0
22233;08;1;18;028;2019;01;19;3;3;5;2;2;1;0;0;0;0;1;513760,185664529910000;5426598,392883770200000;9,188098821000040;48,992133932000058;0
22238;08;1;16;049;2019;01;12;3;2;6;4;0;0;1;1;0;0;0;525806,459095262920000;5385810,286702303200000;9,350201855000023;48,624828456000046;0
22240;08;1;15;046;2019;01;09;3;2;6;4;0;0;1;1;0;0;0;509250,710306791590000;5390598,717165947000000;9,125643111000045;48,668369887000040;0
22242;08;1;11;000;2019;01;09;3;3;5;3;0;1;1;0;0;0;0;507786,631467991510000;5395935,416806684800000;9,105858633000025;48,716399255000056;1
22244;08;4;37;104;2019;01;14;2;3;3;6;0;1;0;0;0;0;0;518332,729792521340000;5326926,646172933300000;9,246215953000046;48,095343344000071;1
22250;08;4;35;016;2019;01;18;2;3;6;2;2;0;1;1;0;0;0;537791,784557634960000;5278781,068602375700000;9,503337862000024;47,661319101000061;1
22256;08;1;25;065;2019;01;17;5;3;5;3;2;1;1;0;0;0;0;515795,309289173220000;5448528,494827404600000;9,216775502000075;49,189355487000057;1
22265;08;4;35;016;2019;01;16;2;2;5;3;0;1;1;0;0;0;0;536768,556482207030000;5279462,103258952500000;9,489767618000030;47,667505608000056;1
22268;08;2;36;072;2019;01;06;5;2;6;4;2;0;1;1;0;0;0;463310,620348901490000;5410235,555078327700000;8,499944030000052;48,844006924000041;1
22271;08;3;26;074;2019;01;07;2;3;6;2;2;0;1;1;0;0;0;459782,726375874130000;5322539,375740353000000;8,460288597000044;48,054866950000076;2
22279;08;2;26;096;2019;01;07;5;3;5;3;2;1;1;0;0;0;0;475352,229277025910000;5487294,023388154800000;8,659334344000058;49,537755207000032;1
22302;08;1;25;013;2019;01;10;2;2;6;2;0;0;1;1;0;0;0;504593,887369129810000;5435804,656776614500000;9,062901949000036;49,075085653000031;1
22312;08;1;16;078;2019;01;17;2;3;6;4;2;0;1;1;0;0;0;509552,349913842980000;5393282,606717871500000;9,129801990000033;48,692509870000038;1
22313;08;1;15;051;2019;01;14;2;3;6;4;0;0;1;1;0;0;0;504509,309820832680000;5385707,402295362200000;9,061192227000049;48,624419043000046;2
22320;08;2;16;007;2019;01;19;1;3;5;3;2;1;1;0;0;0;0;436516,846000000830000;5394258,333999998900000;8,137259842000049;48,698130479000042;1
22332;08;1;19;044;2019;01;07;5;3;6;4;2;0;1;1;0;0;0;542169,025168290360000;5425834,136729579400000;9,576348693000057;48,983972698000059;1
22344;08;2;22;000;2019;01;06;5;3;5;3;2;1;1;0;0;0;0;467210,724266607310000;5484629,139596840400000;8,547032439000077;49,513399893000042;1
22349;08;3;35;075;2019;01;06;4;3;5;3;2;1;1;0;0;0;0;488859,266291706820000;5287866,102404233100000;8,851384936000045;47,744070930000078;1
22354;08;2;31;000;2019;01;19;7;2;6;2;2;0;1;1;0;0;0;474800,003101845270000;5416826,755044415600000;8,656128224000042;48,903871899000080;1
22358;08;2;16;052;2019;01;09;7;3;1;5;0;1;1;0;0;0;0;441835,382698726840000;5416578,028453858600000;8,206370447000040;48,899416263000035;1
22362;08;4;36;064;2019;01;05;4;2;0;1;2;1;0;0;0;0;0;543361,911686077710000;5288144,146664537500000;9,578452355000025;47,745211128000051;0
22370;08;1;11;000;2019;01;22;7;2;6;4;2;0;0;1;1;0;0;512918,105486335230000;5401948,374007979400000;9,175808903000075;48,770406468000033;1
22371;08;2;11;000;2019;01;17;5;3;6;4;2;0;1;1;0;0;0;444232,003703273830000;5400485,436064453800000;8,241256842000041;48,754882253000062;1
22377;08;3;17;152;2019;01;16;4;3;9;7;0;1;0;0;0;0;0;408426,620000001970000;5348693,623999999800000;7,765580172000057;48,284816782000064;0
22381;08;3;37;096;2019;01;17;6;2;6;4;2;0;0;1;0;1;0;422039,463821955960000;5268020,326781554100000;7,963647788000060;47,560918048000076;1
22382;08;3;36;024;2019;01;06;6;3;8;1;2;1;0;0;0;0;0;394378,174704137260000;5278776,592706974600000;7,593445200000076;47,653760481000063;1
22408;08;1;17;051;2019;01;07;6;3;6;4;0;0;1;1;0;0;0;542673,722000000070000;5394486,304000001400000;9,579981004000047;48,701951778000080;1
22416;08;1;16;077;2019;01;17;6;2;6;4;2;0;1;1;0;0;0;517390,435087265450000;5391268,525152428100000;9,236224235000066;48,674221893000038;1
22421;08;1;16;033;2019;01;10;6;3;3;2;0;1;0;0;0;1;0;531485,705101431350000;5389268,925236849100000;9,427531858000066;48,655682010000078;1
22426;08;2;21;000;2019;01;08;6;3;5;2;0;1;1;0;0;0;0;477643,419895233590000;5472306,080061631300000;8,691848012000037;49,403031305000070;1
22452;08;1;26;072;2019;01;12;6;3;6;4;0;0;1;1;0;0;0;538222,711704373360000;5465837,716098493000000;9,526213709000047;49,344061017000058;1
22458;08;4;25;033;2019;01;14;4;3;5;3;0;1;1;0;0;0;0;553685,633079355580000;5347028,287174306800000;9,723534248000021;48,274183323000045;0
22467;08;3;17;040;2019;01;08;5;3;5;3;0;1;1;0;0;0;0;432159,571397783230000;5347463,261600920900000;8,085650935000047;48,276737812000079;1
22497;08;1;36;068;2019;01;14;4;2;6;7;0;0;0;1;0;0;1;597377,022212678570000;5428398,363337146100000;10,331370321000065;49,000797443000067;0
22517;08;1;11;000;2019;01;06;4;3;6;2;2;0;1;1;0;0;0;510609,469537952910000;5409875,373750250800000;9,144594517000030;48,841760545000056;0
