FID;OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrasse;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
114917;114918;08;1;11;000;2016;06;07;3;3;5;2;0;0;1;1;0;0;0;0;512941,228100000010000;5409616,151700000300000;9,176365297000000;48,839384394000000
114920;114921;08;2;12;000;2016;06;13;6;3;6;4;0;0;0;1;1;0;0;0;455376,376600000020000;5428774,345599999700000;8,389781830000000;49,010247737000000
114922;114923;08;2;15;101;2016;06;22;4;3;5;3;1;0;1;1;0;0;0;0;464805,916600000000000;5428003,585900000300000;8,518790115000000;49,003924396000002
114923;114924;08;1;11;000;2016;06;16;6;2;8;1;0;0;1;0;0;0;0;0;514910,840800000010000;5402447,374800000300000;9,202946952000000;48,774850876999999
114930;114931;08;1;15;024;2016;06;17;1;3;8;1;0;0;1;0;0;0;0;0;501235,711899999990000;5388162,169800000300000;9,016776180000001;48,646517627000001
114931;114932;08;1;11;000;2016;06;11;7;3;1;5;0;0;1;1;0;0;0;0;515891,527699999980000;5399367,477400000200000;9,216175758000000;48,747120068000001
114935;114936;08;1;11;000;2016;06;21;2;3;6;7;2;0;0;1;1;0;0;0;514260,295600000010000;5406136,888000000300000;9,194220695000000;48,808056590000000
114937;114938;08;1;15;048;2016;06;12;1;3;0;1;0;0;1;0;0;0;0;0;509621,128900000010000;5387325,336699999900000;9,130598043000001;48,638916512999998
114938;114939;08;3;11;000;2016;06;10;7;3;6;4;0;0;1;0;1;0;0;0;414080,486800000010000;5315948,759700000300000;7,848385331000000;47,991064907000002
114939;114940;08;2;22;000;2016;06;09;6;3;5;7;0;0;1;1;0;0;0;0;467186,036199999970000;5484396,312800000400000;8,546710749000001;49,511304389000003
114943;114944;08;1;11;000;2016;06;11;4;3;6;7;0;0;0;1;1;0;0;0;512719,021799999990000;5402377,760700000500000;9,173112766999999;48,774273301999997
114945;114946;08;3;11;000;2016;06;16;2;3;6;3;0;0;1;0;1;0;0;0;413608,934499999970000;5316288,911299999800000;7,841997790000000;47,994061160000001
114946;114947;08;4;36;079;2016;06;17;5;3;0;7;0;0;1;1;0;0;0;0;553536,664800000030000;5289293,950100000000000;9,714316295000000;47,754791435000001
114947;114948;08;1;18;048;2016;06;09;4;3;3;3;0;0;1;1;0;0;0;0;513690,722499999970000;5415704,585599999900000;9,186783212000000;48,894138513999998
114948;114949;08;3;27;050;2016;06;17;3;2;5;3;0;0;1;0;0;0;1;0;485917,705399999980000;5314174,257000000200000;8,811288193999999;47,980717227000000
114950;114951;08;1;21;000;2016;06;20;2;2;5;3;0;0;1;1;0;0;0;0;516312,542000000020000;5443960,241000000400000;9,223688770000001;49,148249208000003
