OBJECTID;UIDENTSTLA;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstig;LICHT;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
153764;08170805128010083370;08;1;28;131;2017;08;05;7;2;0;1;1;0;0;0;0;0;0;536144,677600000050000;5514462,197399999900000;9,502071105000027;49,781535412000039
153766;08170805118500060090;08;1;18;060;2017;08;12;7;3;5;3;1;1;0;0;0;0;0;523071,420900000030000;5429500,606300000100000;9,315544727000031;49,017963001000055
153767;08170805118100069160;08;1;18;079;2017;08;08;7;2;6;2;0;1;1;0;0;0;0;510421,949800000000000;5422573,302699999900000;9,142362877000039;48,955991083000072
153772;08170805115300073590;08;1;15;028;2017;08;15;7;3;5;3;1;1;0;0;0;0;0;500442,136799999980000;5405227,996399999600000;9,006020802000023;48,800043730000027
153773;08170805111500074130;08;1;11;000;2017;08;15;7;3;1;7;1;1;0;0;0;0;0;508408,492600000000000;5406771,019899999700000;9,114534214000059;48,813867904000062
153776;08170804436200065020;08;4;36;064;2017;08;23;6;3;0;7;1;0;0;0;0;2;0;544584,739500000030000;5288950,372899999800000;9,594846758000074;47,752381449000040
153777;08170804436100077340;08;4;36;055;2017;08;22;6;3;0;1;1;0;0;0;0;2;0;579428,924800000040000;5289711,683000000200000;10,059810613000025;47,755879588000028
153778;08170804435200065280;08;4;35;059;2017;08;11;6;3;5;3;1;1;0;0;0;0;0;513107,055999999980000;5290915,184999999600000;9,174937213000021;47,771468170000048
153779;08170804426100059710;08;4;26;128;2017;08;13;6;3;0;1;1;0;0;0;0;0;0;557483,773700000020000;5330552,695700000000000;9,772486363000041;48,125634611000066
153780;08170804416200080050;08;4;16;041;2017;08;12;6;3;5;3;1;1;0;0;0;0;0;503806,873399999980000;5372951,329599999800000;9,051543280000033;48,509666356000025
153783;08170804416200058370;08;4;16;041;2017;08;17;6;3;6;7;1;0;1;0;0;0;0;505001,807700000000000;5373390,953999999900000;9,067727390000073;48,513613002000056
153784;08170804416200057480;08;4;16;041;2017;08;20;6;3;0;7;1;0;0;0;0;0;0;503683,227200000020000;5373565,316499999700000;9,049874590000059;48,515190752000080
153785;08170804336400065040;08;3;36;091;2017;08;22;6;3;6;7;0;0;1;1;0;2;0;396244,190000000000000;5274770,841900000300000;7,619236968000053;47,618030096000041
153786;08170804335300099370;08;3;35;075;2017;08;18;6;3;5;2;1;1;0;0;0;0;0;488341,131300000010000;5290244,207399999700000;8,844409377000034;47,765458868000053
153787;08170804335100085740;08;3;35;043;2017;08;09;6;3;5;2;1;1;0;0;0;0;0;513811,418400000020000;5280809,356999999800000;9,184017609000023;47,680525539000030
153788;08170804335010068840;08;4;36;039;2017;08;08;6;1;0;3;1;1;0;0;0;0;0;549204,604300000010000;5288430,076399999700000;9,656421850000072;47,747364347000030
153792;08170804316100077870;08;3;16;039;2017;08;07;6;2;5;3;1;0;0;0;0;0;0;418019,990400000010000;5327293,355000000400000;7,899005094000074;48,093631952000067
153794;08170804311010057110;08;3;15;109;2017;08;13;6;3;5;3;1;0;0;0;0;0;0;422659,955000000020000;5314782,110000000300000;7,963569063000023;47,981665262000035
153796;08170804222500059040;08;2;26;009;2017;08;16;6;3;5;2;1;1;0;0;0;0;0;466210,273999999980000;5471402,411700000100000;8,534340619000034;49,394375727000067
153797;08170804221000066670;08;2;21;000;2017;08;10;6;3;0;3;1;1;0;0;0;0;0;477254,725900000020000;5467903,917000000400000;8,686742350000031;49,363419966000038
153801;08170804215202057670;08;2;15;100;2017;08;20;6;3;6;4;1;0;1;0;0;0;0;474137,137300000000000;5451933,972000000100000;8,644839885000067;49,219646204000071
153802;08170804212713067250;08;2;15;108;2017;08;08;6;3;5;3;1;1;0;0;0;0;0;449309,003499999990000;5424356,655100000100000;8,307368878000034;48,970042138000053
153803;08170804212702068730;08;2;15;017;2017;08;15;6;3;5;2;1;1;0;0;0;0;0;456551,668100000010000;5421231,112599999600000;8,406658655000058;48,942478948000030
153804;08170804212502059180;08;2;12;000;2017;08;12;6;3;6;7;1;0;1;0;0;0;0;455229,196899999980000;5428807,353699999900000;8,387765660000071;49,010533987000031
153805;08170804212502057640;08;2;12;000;2017;08;07;6;3;1;5;1;1;0;0;0;0;0;452949,184000000010000;5429407,119599999900000;8,356519288000072;49,015759261000028
153806;08170804212402057610;08;2;12;000;2017;08;09;6;3;0;2;1;0;0;0;0;0;0;456889,880999999990000;5428118,785000000100000;8,410547112000074;49,004458480000039
153807;08170804212202058550;08;2;12;000;2017;08;18;6;3;2;6;1;1;0;0;0;0;0;458044,243000000020000;5428030,728000000100000;8,426339182000049;49,003745945000048
153809;08170804136100148210;08;1;36;088;2017;08;12;6;3;5;2;1;0;0;0;1;0;0;579088,968699999970000;5409331,032800000200000;10,077686148000055;48,831917163000071
153812;08170804126010086550;08;1;21;000;2017;08;23;6;2;6;4;0;1;1;0;0;2;0;516000,990200000000000;5442746,043600000400000;9,219368376000034;49,137335302000054
153815;08170804119300084460;08;1;19;086;2017;08;16;6;3;0;2;1;0;0;0;1;0;0;534988,827000000050000;5405269,074599999900000;9,476455571000031;48,799428725000041
153816;08170804119200058540;08;1;19;020;2017;08;18;6;3;1;5;1;1;0;0;0;0;0;519851,485900000030000;5407339,816399999900000;9,270428363000065;48,818724450000047
153817;08170804118300058150;08;1;18;051;2017;08;17;6;3;0;6;1;0;0;0;1;0;0;509430,772300000010000;5415086,234299999700000;9,128650414000049;48,888655459000063
153819;08170803437200056210;08;4;37;104;2017;08;11;5;3;1;5;1;1;0;0;0;0;0;516281,115700000020000;5325820,283699999600000;9,218619977000060;48,085445155000059
153821;08170803435200117740;08;4;35;059;2017;08;20;5;3;0;1;1;0;0;0;0;0;0;512941,903799999970000;5290667,332100000200000;9,172725587000059;47,769241450000038
153822;08170803435112055090;08;4;35;024;2017;08;09;5;3;0;7;1;0;0;0;0;0;0;526772,299000000000000;5279132,645499999600000;9,356597596000029;47,665032404000044
153824;08170803421200081890;08;4;21;000;2017;08;17;5;3;1;1;1;1;0;0;0;0;0;573531,157000000010000;5360966,861100000300000;9,993394116000047;48,397571478000032
153825;08170803415400056070;08;4;15;061;2017;08;11;5;3;0;1;1;0;0;0;0;0;0;515543,764900000010000;5373075,012199999800000;9,210459197000034;48,510598208000033
