OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
18424;08200917436100145700;08;4;36;055;2020;09;21;5;3;8;1;2;0;1;1;0;0;0;576611,945799999870000;5298075,801699999700000;10,023707229000024;47,831464732000029;0
18427;08200917426200114530;08;4;26;014;2020;09;06;5;2;5;3;0;1;1;0;0;0;0;548658,887000000100000;5317495,039000000800000;9,652416866000067;48,008897351000030;0
18434;08200917335300131190;08;3;35;075;2020;09;07;5;3;5;3;0;1;1;0;0;0;0;488438,261800000440000;5290156,711400000400000;8,845707932000039;47,764673370000025;0
18435;08200917335000117560;08;3;35;063;2020;09;19;5;2;4;6;1;1;0;0;0;0;0;495335,643699999900000;5286636,594100000300000;8,937791550000043;47,733087669000042;0
18436;08200917326400149850;08;3;26;041;2020;09;11;5;3;6;7;0;0;0;1;0;0;1;464902,221599999820000;5331113,623999999800000;8,528284043000042;48,132309360000079;0
18444;08200917316100133930;08;3;16;037;2020;09;15;5;1;0;1;0;1;0;0;0;0;0;406702,647699999620000;5337087,160700000800000;7,744902587000070;48,180168872000081;0
18446;08200917311010145580;08;3;11;000;2020;09;16;5;3;5;3;0;1;1;0;0;0;0;413497,281999999660000;5316419,852000000000000;7,840475103000074;47,995223922000037;0
18448;08200917311010136480;08;3;15;056;2020;09;18;5;2;2;6;0;1;0;0;0;0;1;414895,881599999960000;5310596,188699999800000;7,860371980000025;47,943025131000070;0
18451;08200917235100157250;08;2;35;008;2020;09;06;5;2;4;2;1;1;1;0;0;0;0;480254,753100000320000;5402098,390499999700000;8,731270825000024;48,771576815000060;0
18455;08200917212102137560;08;2;15;101;2020;09;16;5;3;5;2;0;1;1;0;0;0;0;465648,959999999960000;5428339,520999999700000;8,530288244000076;49,006993731000080;0
18467;08200917119200128640;08;1;19;020;2020;09;09;5;3;0;1;0;1;0;0;0;0;0;519001,416899999600000;5407195,567900000100000;9,258841679000057;48,817453402000069;0
18470;08200917115400147550;08;1;15;054;2020;09;08;5;3;4;2;0;1;1;0;0;0;0;492192,676799999550000;5395942,866599999400000;8,893859924000026;48,716466015000037;0
18473;08200917111320169630;08;1;11;000;2020;09;17;5;3;3;6;0;1;1;0;0;0;0;516484,605100000280000;5405772,102099999800000;9,224500208000052;48,804720008000061;0
18476;08200916436300111450;08;4;36;018;2020;09;09;4;2;5;3;0;1;0;0;1;0;0;552330,572999999860000;5285860,819000000100000;9,697812310000074;47,724002821000056;0
18478;08200916435200161790;08;4;35;034;2020;09;12;4;3;6;4;0;0;1;1;0;0;0;529431,075199999850000;5285438,166300000600000;9,392436168000074;47,721650542000077;0
18479;08200916435200129180;08;4;35;034;2020;09;14;4;2;0;7;0;1;0;0;0;0;0;525956,459999999960000;5282344,134999999800000;9,345922068000050;47,693961128000069;0
18480;08200916435100186220;08;4;35;016;2020;09;06;4;3;5;3;0;1;1;0;0;0;0;537036,394999999550000;5281757,497800000000000;9,493529890000048;47,688142816000038;0
18482;08200916435100147410;08;4;35;016;2020;09;15;4;3;1;1;0;1;1;0;0;0;0;536560,698499999940000;5278109,695900000600000;9,486885840000070;47,655349249000039;0
18486;08200916415400147040;08;4;15;061;2020;09;07;4;3;5;3;0;1;1;0;0;0;0;516344,491000000390000;5373322,146999999900000;9,221310454000047;48,512801180000054;0
18487;08200916336400156830;08;3;36;091;2020;09;18;4;3;9;2;0;1;0;0;0;0;0;395522,403900000270000;5271897,400000000400000;7,610319358000027;47,592067033000035;1
18489;08200916336400110930;08;3;36;091;2020;09;10;4;3;6;2;0;0;0;1;0;0;1;394410,908099999650000;5271776,423000000400000;7,595568770000057;47,590798791000054;0
18492;08200916335200112840;08;3;35;063;2020;09;20;4;3;0;1;2;1;0;0;0;0;0;496673,144000000320000;5287500,783800000300000;8,955623158000037;47,740871584000047;0
18493;08200916317010135210;08;3;17;100;2020;09;05;4;2;0;1;2;1;0;0;0;0;0;423402,618499999870000;5366378,049000000600000;7,964200027000061;48,445880327000054;0
18495;08200916311010126890;08;3;11;000;2020;09;17;4;3;0;7;0;1;0;0;0;0;0;414815,877199999990000;5319286,531899999800000;7,857577116000073;48,021187848000068;0
18501;08200916222700127620;08;2;22;000;2020;09;08;4;3;4;6;0;1;0;0;0;0;1;460869,054700000210000;5481267,630000000800000;8,459762127000033;49,482788864000042;0
18505;08200916221011148520;08;2;21;000;2020;09;18;4;3;5;2;0;1;1;0;0;0;0;476757,506799999620000;5472136,543500000600000;8,679647143000068;49,401473163000048;0
18507;08200916215502140450;08;2;15;106;2020;09;13;4;3;4;6;0;1;0;0;1;0;0;464782,282100000420000;5455624,952500000600000;8,516054847000021;49,252379896000036;0
18511;08200916211000114410;08;2;16;017;2020;09;18;4;2;5;2;0;1;1;0;0;0;0;449101,002999999560000;5401805,222799999600000;8,307332759000076;48,767171260000055;0
18512;08200916136300145520;08;1;36;027;2020;09;13;4;3;5;3;0;1;1;0;0;0;0;556116,604700000030000;5419799,261900000300000;9,766130974000021;48,928579996000053;0
18514;08200916135010113650;08;1;35;019;2020;09;11;4;2;5;2;0;1;1;0;0;0;0;585240,610500000420000;5392450,062200000500000;10,157997358000046;48,679273120000062;0
18516;08200916121500128990;08;1;25;068;2020;09;13;4;2;0;1;0;1;0;0;0;0;0;518725,119900000280000;5458565,177300000600000;9,257452730000068;49,279554571000062;0
18517;08200916121500114550;08;1;25;103;2020;09;06;4;3;6;7;1;0;1;1;0;0;0;530642,387299999590000;5462931,957000000400000;9,421635112000047;49,318352108000056;0
18518;08200916121200173660;08;1;21;000;2020;09;16;4;3;5;3;0;1;1;0;0;0;0;515505,942999999970000;5446347,460999999200000;9,212720157000035;49,169743877000030;0
18525;08200916118300149980;08;1;18;003;2020;09;19;4;3;5;3;0;1;0;0;0;0;1;509460,998999999840000;5416503,901000000500000;9,129095585000073;48,901407985000048;0
18526;08200916118100132470;08;1;18;040;2020;09;17;4;3;5;2;0;1;1;0;0;0;0;510908,333999999800000;5431256,699999999300000;9,149239974000068;49,034095007000076;0
18527;08200924335000173400;08;3;35;063;2020;09;14;5;2;0;1;0;1;0;0;0;1;0;496771,468999999580000;5287713,926999999200000;8,956933131000028;47,742789859000027;0
18528;08200922311010148440;08;3;11;000;2020;09;15;3;3;0;7;0;1;0;0;0;0;0;412568,082999999630000;5314117,063999999300000;7,828491229000065;47,974383201000080;0
18530;08200921231000125580;08;2;37;028;2020;09;07;2;3;0;2;0;1;1;0;0;0;0;457683,336900000460000;5368191,639900000800000;8,427549142000032;48,465434093000056;0
18531;08200924121200140120;08;1;21;000;2020;09;20;5;3;1;7;2;0;1;1;0;0;0;516501,128999999720000;5442040,994999999200000;9,226196203000029;49,130979923000041;1
18532;08200922121200132220;08;1;21;000;2020;09;10;3;3;6;7;0;0;1;1;0;0;0;515924,070500000380000;5442434,031700000200000;9,218301514000075;49,134530648000066;0
18533;08200923222800155890;08;2;22;000;2020;09;17;4;3;5;3;0;1;1;0;0;0;0;463005,774000000210000;5486364,550799999400000;8,488782732000061;49,528766950000033;0
18536;08200922435100142240;08;4;35;029;2020;09;13;3;3;0;1;0;1;0;0;0;0;0;543279,673100000250000;5271578,376700000800000;9,575713771000039;47,596170282000060;0
18541;08200923421300150780;08;4;25;039;2020;09;07;4;3;1;5;0;0;1;1;0;0;0;565958,690000000410000;5353193,346999999100000;9,889885911000022;48,328482356000052;0
18544;08200922118500148610;08;1;18;014;2020;09;15;3;3;3;6;0;1;1;0;0;0;0;521896,155100000090000;5421640,088300000900000;9,299047642000062;48,947296382000047;0
18552;08200923335000187050;08;3;35;075;2020;09;18;4;2;6;4;0;0;1;1;0;0;0;488298,840200000440000;5288055,684200000000000;8,843903897000075;47,745766779000064;0
18558;08200921226700127580;08;2;26;065;2020;09;08;2;2;4;2;0;1;1;0;0;0;0;475956,763199999930000;5456414,878200000200000;8,669558525000070;49,260026489000040;0
18562;08200924435100156600;08;4;35;016;2020;09;23;5;3;0;1;2;1;0;0;0;0;0;533929,769999999550000;5279523,527100000500000;9,451960211000028;47,668213440000045;1
18565;08200924212010159160;08;2;12;000;2020;09;16;5;3;4;6;0;1;0;0;0;0;0;461758,745600000020000;5430086,787200000100000;8,476931502000070;49,022481974000073;0
18568;08200923317000163470;08;3;17;065;2020;09;07;4;2;6;4;1;0;1;1;0;0;0;420882,173299999910000;5353140,163599999600000;7,932616095000071;48,326493585000037;0
18569;08200922111500131690;08;1;11;000;2020;09;07;3;3;5;3;0;1;1;0;0;0;0;515526,013199999930000;5405781,421599999100000;9,211445804000050;48,804828531000055;0
18575;08200922121500162630;08;1;25;065;2020;09;06;3;3;5;3;0;1;0;0;0;0;0;515800,485000000340000;5448528,762000000100000;9,216846543000031;49,189357757000039;0
18578;08200923311010147640;08;3;36;105;2020;09;16;4;2;5;3;0;1;1;0;0;0;0;403957,233000000010000;5266559,179999999700000;7,723650349000025;47,545350613000039;0
18581;08200924326100178600;08;3;26;012;2020;09;13;5;3;0;1;0;1;1;0;0;0;0;461987,843000000340000;5310818,495999999300000;8,490918392000026;47,949551408000048;0
18582;08200922311010133140;08;3;11;000;2020;09;16;3;3;3;2;0;1;1;0;0;0;0;412831,481399999930000;5314709,791699999900000;7,831899495000073;47,979750933000048;0
18592;08200924231000137490;08;2;36;004;2020;09;05;5;3;5;3;2;1;1;0;0;0;0;469843,345999999900000;5413126,414000000800000;8,588765851000062;48,870363750000081;1
18593;08200922221200174060;08;2;21;000;2020;09;23;3;3;0;7;2;1;0;0;0;0;0;478720,031999999660000;5472903,646999999900000;8,706655267000031;49,408444933000055;0
18600;08200923436000181150;08;4;36;064;2020;09;17;4;1;5;3;0;1;1;0;0;0;0;538935,480999999680000;5292971,899000000200000;9,519838601000060;47,788929721000045;0
18607;08200922212010165820;08;2;15;009;2020;09;14;3;3;6;2;0;0;1;1;0;0;0;469908,651700000280000;5441674,207800000900000;8,587541408000050;49,127165356000035;0
18608;08200920435200143470;08;4;37;124;2020;09;08;1;3;0;7;0;1;0;0;0;0;0;516573,970300000160000;5301252,914300000300000;9,221604537000076;47,864401075000046;0
18610;08200922111500134770;08;1;11;000;2020;09;07;3;3;5;3;0;1;1;0;0;0;0;517834,183699999940000;5404421,161499999500000;9,242820990000041;48,792529887000057;0
18613;08200922116010165690;08;1;16;078;2020;09;09;3;3;6;4;0;0;1;1;0;0;0;510203,907800000160000;5393404,184800000900000;9,138658654000039;48,693593280000073;0
18616;08200922335300181410;08;3;35;075;2020;09;23;3;3;8;1;2;1;0;0;0;0;0;488711,440000000410000;5287914,416999999400000;8,849411717000066;47,744503073000033;0
18618;08200924211000170590;08;2;16;005;2020;09;12;5;2;5;3;0;1;0;0;0;0;0;444922,879399999980000;5417374,141699999600000;8,248386645000039;48,906859500000053;0
18620;08200920421300123280;08;4;21;000;2020;09;14;1;3;0;1;0;1;0;0;0;0;0;571354,171699999830000;5356863,917500000400000;9,963291156000025;48,360914353000055;0
18624;08200924335200169640;08;3;35;063;2020;09;20;5;3;6;2;2;0;0;1;1;0;0;496859,442499999890000;5287875,823799999400000;8,958105481000075;47,744246974000077;1
18628;08200924417010150820;08;4;17;002;2020;09;05;5;2;5;3;2;1;1;0;0;0;0;489012,906000000420000;5345763,353000000100000;8,851951279000048;48,264983841000060;0
18629;08200922317300151970;08;3;17;026;2020;09;13;3;3;5;3;0;1;1;0;0;0;0;411972,881099999880000;5346503,721300000300000;7,813829415000043;48,265622130000054;0
