OBJECTID_1;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
155462;08;4;21;000;2018;07;12;6;3;5;2;0;1;1;0;0;0;0;0;570570,972300000020000;5357529,125500000100000;9,952830996000046;48,366986188000055
155465;08;4;25;033;2018;07;17;6;2;8;1;0;1;0;0;0;0;0;0;553689,774699999950000;5348019,023099999900000;9,723715941000023;48,283095662000051
155467;08;4;25;108;2018;07;14;6;3;6;7;0;0;1;1;0;0;0;0;554432,395800000060000;5358190,300900000100000;9,735039124000025;48,374532340000030
155468;08;2;22;000;2018;07;18;4;3;5;3;0;1;0;0;1;0;0;0;464323,822500000010000;5483726,754599999600000;8,507234350000033;49,505120397000042
155470;08;4;16;041;2018;07;06;6;3;1;5;1;1;1;0;0;0;0;1;503029,003900000010000;5375476,212899999700000;9,041029636000076;48,532385364000049
155471;08;2;16;043;2018;07;14;4;3;9;1;0;1;0;0;0;0;0;0;440843,305600000020000;5412034,036299999800000;8,193492826000068;48,858449504000077
155472;08;4;16;041;2018;07;15;6;3;1;7;0;1;1;0;0;0;0;0;502690,480099999990000;5374501,511599999900000;9,036437842000055;48,523618148000025
155474;08;2;15;106;2018;07;12;4;3;4;6;0;1;1;0;0;0;0;0;464991,998100000030000;5455107,542000000400000;8,518981777000022;49,247737871000027
155476;08;4;15;061;2018;07;07;6;3;5;3;0;1;1;0;0;0;0;1;515747,511999999990000;5371570,224800000000000;9,213161094000043;48,497055564000050
155479;08;4;16;011;2018;07;12;6;2;6;6;0;1;0;1;0;0;0;0;504237,718200000000000;5366679,777700000400000;9,057313116000046;48,453242046000071
155480;08;1;11;000;2018;07;14;6;2;6;4;0;1;0;1;0;0;0;0;508614,715700000000000;5406804,909400000200000;9,117343937000044;48,814169945000060
155483;08;2;12;000;2018;07;18;4;3;5;3;0;1;1;0;0;0;0;0;455429,674799999980000;5427605,048899999800000;8,390638980000063;48,999733650000053
155484;08;4;15;050;2018;07;17;6;3;5;3;0;1;1;0;0;0;0;0;520960,467500000030000;5376402,049300000100000;9,283966634000024;48,540371623000055
155485;08;3;25;049;2018;07;19;6;3;0;1;0;1;0;0;0;0;0;0;472778,283400000010000;5334087,200899999600000;8,633945976000064;48,159447659000080
155487;08;4;17;008;2018;07;18;6;2;1;5;0;1;1;0;0;0;0;0;495748,139000000020000;5352831,067300000200000;8,942635818000042;48,328651087000026
155490;08;4;36;064;2018;07;08;5;3;0;1;0;1;0;0;0;0;0;1;545792,655000000030000;5292835,867200000200000;9,611371331000044;47,787254731000075
155492;08;1;36;088;2018;07;11;4;3;4;6;0;1;0;0;0;0;1;0;582170,831600000030000;5408641,838800000000000;10,119534046000069;48,825318266000068
155493;08;3;16;051;2018;07;15;6;3;5;3;0;1;1;0;0;0;0;1;399220,799000000000000;5335211,799999999800000;7,644724597000050;48,162158296000030
155494;08;3;11;000;2018;07;19;6;3;5;2;0;1;0;0;0;0;0;0;413883,418799999980000;5316221,376199999800000;7,845689806000053;47,993490685000040
155495;08;1;28;058;2018;07;16;4;3;5;3;0;1;1;0;0;0;0;0;558973,391599999970000;5482523,271599999600000;9,814343766000036;49,492478414000061
155497;08;3;11;000;2018;07;08;6;3;5;3;0;1;1;0;0;0;0;1;413844,322999999970000;5317294,421000000100000;7,844950417000064;48,003137842000058
155498;08;1;19;079;2018;07;12;4;2;9;1;0;1;0;0;0;0;0;0;525335,800200000060000;5407596,949199999700000;9,345153466000056;48,820838084000059
155503;08;4;21;000;2018;07;07;5;3;1;1;0;1;1;0;0;0;0;0;572213,443300000040000;5361938,661899999700000;9,975761920000025;48,406465381000032
155504;08;3;11;000;2018;07;23;6;3;6;7;2;0;1;1;0;0;0;0;413172,980500000010000;5316758,786000000300000;7,836060355000029;47,998228789000052
155505;08;1;19;086;2018;07;17;4;3;1;5;0;1;1;0;0;0;0;1;534547,303799999990000;5405385,289699999600000;9,470453179000060;48,800498847000028
155507;08;2;12;000;2018;07;18;6;3;0;7;0;1;0;0;0;0;0;0;453963,006300000010000;5431042,517300000400000;8,370198124000069;49,030546207000043
155508;08;1;18;049;2018;07;13;4;3;6;4;0;0;1;1;0;0;0;1;519444,885400000030000;5420541,504400000000000;9,265517295000052;48,937495882000064
155509;08;2;12;000;2018;07;12;6;3;2;6;0;1;1;0;0;0;0;1;455219,699599999990000;5428483,351300000200000;8,387671534000049;49,007618868000066
155510;08;1;16;053;2018;07;21;6;3;0;1;1;1;0;0;0;0;0;1;538996,572200000050000;5388059,514700000200000;9,529400923000026;48,644378757000027
155511;08;2;36;031;2018;07;12;6;3;6;7;0;0;1;1;0;0;0;0;481848,928699999990000;5420486,662200000100000;8,752151826000045;48,937041857000054
155512;08;1;18;048;2018;07;16;4;3;5;7;0;1;1;0;0;0;0;1;512557,614200000010000;5417113,542000000400000;9,171367560000022;48,906837111000073
155513;08;1;17;051;2018;07;14;4;3;5;3;0;1;1;0;0;0;0;1;543566,816299999950000;5395064,836799999700000;9,592179486000021;48,707094288000064
155515;08;1;18;080;2018;07;17;6;3;5;3;0;1;1;0;0;0;0;0;509166,453500000000000;5408186,179700000200000;9,124890192000066;48,826587788000040
155519;08;1;16;033;2018;07;17;4;3;3;6;0;1;1;0;0;0;0;0;532994,148000000040000;5387894,757000000200000;9,447904267000070;48,643242302000033
155520;08;2;26;084;2018;07;07;6;3;2;6;0;1;1;0;0;0;0;0;469492,497500000000000;5470365,405700000000000;8,579651493000029;49,385221424000065
155521;08;2;22;000;2018;07;09;6;3;6;4;0;0;1;1;0;0;0;0;463874,073299999990000;5486575,759499999700000;8,500761789000023;49,530719045000069
155522;08;1;16;080;2018;07;21;4;3;1;5;1;1;1;0;0;0;0;0;516658,665099999980000;5396496,554300000000000;9,226495161000059;48,721273302000043
155523;08;2;22;000;2018;07;09;6;3;3;2;0;1;1;0;0;0;0;0;462940,153600000020000;5483213,637400000400000;8,488171803000057;49,500422202000038
155524;08;1;15;024;2018;07;16;6;2;5;3;0;1;1;0;0;0;0;0;501465,106399999990000;5386190,716000000000000;9,019883497000024;48,628781570000058
155525;08;2;21;000;2018;07;19;6;3;3;2;0;1;0;0;0;0;0;0;478134,326599999970000;5472984,529900000400000;8,698576970000033;49,409151698000073
155526;08;1;16;080;2018;07;20;4;2;4;2;0;1;1;0;0;0;0;0;521608,473699999970000;5395887,745699999900000;9,293761223000047;48,715644560000044
155527;08;1;16;049;2018;07;20;4;3;4;6;0;1;0;0;0;0;0;0;524882,008500000000000;5385946,292999999600000;9,337665160000029;48,626089436000029
155530;08;2;21;000;2018;07;17;6;2;8;1;0;0;1;1;0;0;0;1;478692,039700000020000;5469951,245099999900000;8,706427719000033;49,381887454000037
155531;08;1;11;000;2018;07;08;4;3;5;2;0;1;1;0;0;0;0;0;511861,363300000030000;5406328,080400000300000;9,161553674000061;48,809826952000037
155532;08;2;15;009;2018;07;22;6;3;0;3;2;1;0;0;0;0;0;0;470148,937900000020000;5441045,619300000400000;8,590881413000034;49,121522801000026
155534;08;2;12;000;2018;07;16;6;3;0;3;0;1;0;0;0;0;0;0;456178,130999999990000;5428840,796900000400000;8,400737837000065;49,010902933000068
155535;08;2;11;000;2018;07;18;6;3;0;1;0;1;0;0;0;0;0;0;440574,183299999980000;5404341,023600000000000;8,190938857000049;48,789225183000042
155539;08;3;17;089;2018;07;07;6;3;5;3;0;1;1;0;0;0;0;0;431870,037599999980000;5375469,745799999700000;8,077202957000054;48,528636008000035
155540;08;1;11;000;2018;07;17;4;3;5;3;0;1;1;0;0;0;0;0;510250,130699999980000;5397077,709400000100000;9,139378007000062;48,726639713000054
155544;08;3;36;050;2018;07;13;4;3;4;6;0;1;0;0;0;0;0;0;398561,625000000000000;5272389,964999999900000;7,650619086000063;47,596980387000031
155545;08;3;11;000;2018;07;16;4;3;6;4;0;1;0;1;0;0;0;0;412866,296900000020000;5314339,664300000300000;7,832441018000054;47,976426251000078
155546;08;3;36;069;2018;07;17;4;2;0;7;0;1;0;0;0;0;0;0;404804,479200000000000;5268051,891800000300000;7,734583635000035;47,558903330000078
155549;08;2;25;109;2018;07;15;4;3;4;2;0;1;1;0;0;0;0;0;526763,299800000040000;5492222,105999999700000;9,370239502000061;49,581991332000030
155550;08;2;15;017;2018;07;08;4;3;0;1;0;1;0;0;0;0;0;0;456754,432600000000000;5421280,504800000200000;8,409422261000032;48,942937452000081
155551;08;2;12;000;2018;07;18;4;3;5;7;0;1;1;0;0;0;0;0;458407,325399999970000;5426865,376299999700000;8,431422679000036;48,993287976000033
155553;08;1;36;088;2018;07;13;4;3;5;3;0;1;1;0;0;0;0;0;580362,217100000010000;5410174,634100000400000;10,095197869000060;48,839341232000038
155554;08;1;36;028;2018;07;13;4;2;5;3;0;1;0;0;0;0;1;0;568729,603200000010000;5405885,373300000100000;9,935970797000039;48,802157553000029
155555;08;1;28;007;2018;07;07;4;3;0;2;0;1;1;0;0;0;0;0;555579,283599999970000;5481527,080799999600000;9,767340169000022;49,483839042000056
155557;08;1;18;001;2018;07;06;4;3;0;7;0;1;0;1;0;0;1;1;523761,257800000020000;5418806,009200000200000;9,324354742000026;48,921733362000055
155558;08;1;15;045;2018;07;12;4;3;4;6;0;1;0;0;0;0;0;0;498652,427099999970000;5396227,396900000100000;8,981678884000075;48,719073095000056
155560;08;1;11;000;2018;07;14;4;3;0;4;0;0;0;1;0;0;1;0;512807,530499999990000;5402323,801699999700000;9,174315732000025;48,773786075000032
155561;08;1;11;000;2018;07;13;4;3;5;3;0;1;1;0;0;0;0;0;518218,760599999980000;5401716,901499999700000;9,247937292000074;48,768191548000061
155563;08;1;11;000;2018;07;10;4;3;0;1;0;1;0;0;0;0;0;0;512125,983100000010000;5399604,931699999600000;9,164959519000036;48,749340905000054
