OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
87000;08220722118300942590;08;1;18;046;2022;07;16;6;2;0;7;0;0;1;0;0;0;0;0;514845,628305593971163;5412683,669072439894080;9,202429855000050;48,866936515000098
87004;08220715116100961140;08;1;16;004;2022;07;14;6;3;5;2;0;0;1;1;0;0;0;0;528286,215000001946464;5396524,611999520100653;9,384585057000040;48,721106511000102
87010;08220715111500933920;08;1;11;000;2022;07;15;6;3;5;2;0;0;1;0;0;0;0;1;516739,485124344006181;5406873,815843050368130;9,228016268000029;48,814624040000098
87018;08220716115300936070;08;1;15;042;2022;07;10;7;3;0;7;0;0;1;0;0;0;0;1;495842,369400491996203;5406160,990161419846117;8,943373993000019;48,808423120000000
87022;08220702326400876980;08;3;26;075;2022;07;21;7;3;6;4;1;0;0;0;1;0;0;1;460494,370862943993416;5317858,356769200414419;8,470270197000049;48,012797460999998
87024;08220721121500943720;08;1;25;007;2022;07;16;5;3;9;1;0;0;1;0;0;0;0;0;510585,705918715975713;5453901,006662799976766;9,145420674000039;49,237794653999998
87027;08220615215402805420;08;2;15;009;2022;06;08;4;3;1;5;0;0;1;1;0;0;0;0;471176,514608823985327;5441001,167367850430310;8,604967507000030;49,121171992000001
87031;08220702335400870730;08;3;35;079;2022;07;14;7;3;8;1;0;0;1;0;0;0;0;0;500666,679841461998876;5296558,814379700459540;9,008906736000030;47,822379730000101
87034;08220714311100922220;08;3;15;013;2022;07;10;5;3;5;3;0;0;1;1;0;0;0;0;403612,749825899023563;5324289,173213110305369;7,706240403000040;48,064593598000002
87040;08220715335100952980;08;3;35;043;2022;07;23;6;3;4;6;2;0;1;0;0;0;0;0;510648,104609686997719;5282331,693499259650707;9,141908230000070;47,694282844000000
87042;08220712421000917610;08;1;17;051;2022;07;22;3;3;0;1;2;0;1;0;0;0;0;0;542265,552411362994462;5395361,074629790149629;9,574523409000051;48,709848678000100
87044;08220720337010945260;08;3;37;126;2022;07;14;4;3;0;7;0;0;1;1;0;0;0;0;442444,621999999973923;5273316,070999490097165;8,234175470000030;47,610694144999997
87047;08220718221011938590;08;2;21;000;2022;07;15;2;3;5;3;0;0;1;1;0;0;0;0;477830,623741114977747;5472815,277203069999814;8,694399872000080;49,407618307000099
87055;08220630416100858790;08;4;16;036;2022;06;13;5;2;0;1;0;0;1;0;0;0;0;0;494631,525107426976319;5367469,300179109908640;8,927383822000021;48,460336323000000
87058;08220722212010966550;08;2;12;000;2022;07;20;6;3;5;3;0;0;1;1;0;0;0;0;459614,610999999975320;5427973,146999529562891;8,447815477000059;49,003332743000001
87060;08220706435100875240;08;4;35;016;2022;07;14;4;2;0;7;0;0;1;0;0;0;0;0;536546,668666878947988;5279198,340314379893243;9,486790053000050;47,665145008000103
87062;08220626421200851080;08;4;25;135;2022;06;22;1;3;0;1;2;0;1;0;0;0;0;0;568498,035292173968628;5372484,342858839780092;9,927291554000020;48,501741654000099
87072;08220720212010915060;08;2;12;000;2022;07;21;4;2;4;6;2;0;1;0;0;0;0;0;460794,482915021013469;5423661,867856550030410;8,464362770000040;48,964627792999998
87080;08220702126200870490;08;1;26;066;2022;07;14;7;3;6;7;0;0;0;1;1;0;0;0;536151,782322595943697;5450002,199720869772136;9,496273312000030;49,201749192000101
87093;08220626311010822690;08;3;36;091;2022;06;09;1;3;5;2;0;0;1;0;0;0;0;0;395774,538875796017237;5274141,640512130223215;7,613138512000030;47,612294946000098
87097;08220717435100576100;08;4;35;016;2022;07;20;1;3;8;1;2;0;1;0;0;0;0;0;533176,449222969007678;5278483,864485699683428;9,441846998000070;47,658898215000100
87101;08220701216200870140;08;2;16;028;2022;07;18;6;3;5;2;0;0;1;1;0;0;0;0;426838,685908276995178;5397502,667589739896357;8,005177139000070;48,726252434000102
87102;08220709111500883120;08;1;11;000;2022;07;13;7;3;5;2;0;0;1;1;0;0;0;0;509921,830294261977542;5399170,937434320338070;9,134964293000049;48,745475716999998
87111;08220710317100972130;08;3;17;089;2022;07;03;1;3;0;1;2;0;1;0;0;0;0;0;427607,536081783007830;5375883,541795910336077;8,019405510000070;48,531880899999997
87115;08220619426100868900;08;4;26;021;2022;06;17;1;3;0;7;0;0;1;0;0;0;0;0;558626,131039267987944;5327153,693037429824471;9,787368993000030;48,094952429000003
87122;08220717317300933380;08;3;17;026;2022;07;10;1;3;8;1;0;0;1;0;0;0;0;0;415035,538507979013957;5346160,242850249633193;7,855159197000030;48,262950803000102
87124;08220626116400826810;08;1;16;012;2022;06;13;1;3;3;6;0;0;1;1;0;0;0;0;537081,883118055993691;5382781,696766230277717;9,502937076000020;48,597016754999999
87126;08220723121200984580;08;1;21;000;2022;07;11;7;2;0;7;0;1;1;0;0;0;0;0;516007,111122968024574;5445432,794939010404050;9,219559060000050;49,161503321000097
87130;08220720117400928890;08;1;17;053;2022;07;07;4;3;0;1;0;0;1;0;0;0;0;0;549495,731025825953111;5399825,363500979728997;9,673333984000070;48,749474873000104
87135;08220629336400862980;08;3;36;078;2022;06;23;4;3;0;1;2;0;1;0;0;0;0;0;399830,841978069976903;5289042,728181590326130;7,663678731000060;47,746973670000003
87136;08220710136100909820;08;1;36;082;2022;07;17;1;3;1;6;0;0;1;1;0;0;0;0;587298,269160417024978;5416251,020765789784491;10,191000152000100;48,893054937999999
87149;08220714126200932390;08;1;26;058;2022;07;13;5;3;6;4;0;0;0;0;1;0;0;1;542060,875743772950955;5450240,943900640122592;9,577411330000070;49,203519653000100
87151;08220704136300885480;08;1;36;065;2022;07;21;2;3;0;3;0;0;1;1;0;0;0;0;559808,635748113971204;5404327,359329300001264;9,814270550000060;48,789065571999998
87152;08220722325000942830;08;3;25;057;2022;07;09;6;2;3;5;0;0;1;1;0;0;0;0;472638,567023375013378;5356596,669092589989305;8,630611112000050;48,361950133999997
87156;08220627317300834910;08;3;17;075;2022;06;18;2;3;5;3;0;0;1;1;0;0;0;0;411940,353445088025182;5360771,248570789583027;7,810409729000070;48,393950190000098
87160;08220721116100949430;08;1;16;019;2022;07;19;5;3;5;3;0;0;1;1;0;0;0;0;529956,028401045012288;5398603,989587459713221;9,407438699000069;48,739734190000000
