UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
08251112421200668740;08;4;21;000;2025;11;17;4;3;5;3;2;0;1;1;0;0;0;0;574333,496199999935925;5362450,417500000447035;10,004494631000057;48,410822227000040;1
08251112119200684460;08;1;19;020;2025;11;17;4;3;5;3;2;0;1;0;0;0;0;1;520784,547399999573827;5407206,537799999117851;9,283132153000054;48,817494986000042;1
08251017231102567420;08;2;36;067;2025;10;17;6;3;5;3;0;0;1;1;0;0;0;0;486838,857200000435114;5411095,402899999171495;8,820590153000069;48,852686839000057;1
08251106118400648850;08;1;18;048;2025;11;17;5;3;7;7;1;0;1;0;0;0;0;0;515772,355000000447035;5415372,448999999091029;9,215170011000055;48,891101211000034;1
08251030317600611270;08;3;17;088;2025;10;17;5;3;0;7;1;0;1;0;0;0;0;0;435462,150399999693036;5358255,877499999478459;8,128504854000028;48,374169519000077;1
08251020326000558800;08;3;35;043;2025;10;09;2;3;5;3;0;1;1;1;0;0;0;0;511888,084499999880791;5280845,033299999311566;9,158392987000070;47,680884777000074;1
08251023311010624080;08;3;11;000;2025;10;11;5;2;5;2;0;1;1;0;0;0;1;0;412894,810200000181794;5318055,158900000154972;7,832068958000036;48,009852224000042;1
08251021316100589660;08;3;16;011;2025;10;18;3;2;0;1;0;0;1;0;0;0;0;0;414646,281000000424683;5329547,532999999821186;7,853254279000055;48,113465789000031;1
08251020116100595870;08;1;16;056;2025;10;14;2;2;6;7;0;0;0;0;1;0;1;0;531728,829300000332296;5396311,866699999198318;9,431373857000040;48,719026969000026;1
08251018335100618820;08;3;35;043;2025;10;08;7;2;5;3;0;0;1;1;0;0;0;0;511598,435200000181794;5287376,805500000715256;9,154707640000026;47,739660383000057;1
08251105118100644610;08;1;18;018;2025;11;14;4;3;6;4;0;0;0;1;1;0;0;0;511509,649899999611080;5430749,522800000384450;9,157452315000057;49,029521746000057;1
