OID_;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
208921;08240814225200118000;08;2;25;109;2024;08;22;4;3;0;1;2;0;1;0;0;0;0;0;528358,692800000309944;5493262,279100000858307;9,392384432000028;49,591274454000029;1
208923;08240814222200152350;08;2;22;000;2024;08;13;4;3;1;5;0;0;1;1;0;0;0;0;461358,677099999971688;5482120,729000000283122;8,466438111000059;49,490493403000073;1
208927;08240814121400118990;08;1;25;026;2024;08;18;4;3;0;1;0;0;1;0;0;0;0;0;498434,715200000442564;5438293,193199999630451;8,978557645000024;49,097486384000035;1
208929;08240814121200091860;08;1;21;000;2024;08;10;4;3;0;7;0;0;1;0;0;0;0;0;516294,689000000245869;5441265,543999999761581;9,223335031000033;49,124009980000039;1
208931;08240814118100104470;08;1;18;079;2024;08;17;4;3;5;3;0;0;1;1;0;0;0;0;507270,190999999642372;5421564,403999999165535;9,099292212000023;48,946960451000052;1
208933;08240814116400153620;08;1;16;033;2024;08;16;4;3;0;3;0;0;1;1;0;0;0;0;534117,583399999886751;5386960,653999999165535;9,463077765000037;48,634778903000040;1
208934;08240814111240094850;08;1;11;000;2024;08;16;4;3;0;7;0;0;1;0;0;0;0;0;518935,352599999867380;5404712,569399999454618;9,257827213000041;48,795118789000071;1
208935;08240820111500107480;08;1;11;000;2024;08;15;3;3;6;6;0;0;0;1;1;0;0;0;513893,135300000198185;5400309,451999999582767;9,189023159000044;48,755641820000051;1
208937;08240831326100150050;08;3;26;012;2024;08;12;7;3;5;3;0;0;1;0;0;0;0;0;463583,268500000238419;5310862,010199999436736;8,512280785000030;47,950035621000040;1
208938;08240813436000090230;08;4;35;030;2024;08;16;3;3;1;7;0;0;1;1;0;0;0;0;540587,852800000458956;5271725,805999999865890;9,539922047000061;47,597670882000045;1
208939;08240813436000088090;08;4;35;030;2024;08;09;3;2;5;3;0;0;1;0;0;0;0;0;540870,331000000238419;5273390,838300000876188;9,543834812000057;47,612634101000026;1
208940;08240813435100117820;08;4;35;016;2024;08;18;3;3;0;1;0;0;1;0;0;0;0;0;535031,669200000353158;5277608,953299999237061;9,466484049000030;47,650928452000073;1
208942;08240813416010148640;08;4;15;092;2024;08;16;3;3;2;6;0;0;1;0;0;0;0;1;519002,151399999856949;5364559,155099999159575;9,256897521000042;48,433891412000037;1
208943;08240813337010114270;08;3;37;116;2024;08;16;3;3;5;2;0;0;1;0;0;1;0;0;418053,860199999995530;5276687,685499999672174;7,909055726000076;47,638400317000048;1
208944;08240813337010101710;08;3;37;096;2024;08;14;3;3;4;6;0;0;1;1;0;0;0;0;418479,555900000035763;5268469,078199999406934;7,916250156000046;47,564517820000049;1
208946;08240813336100108350;08;3;36;050;2024;08;19;3;3;0;1;0;0;1;0;0;0;0;0;402470,360199999995530;5275323,523700000718236;7,701947978000021;47,623968982000065;1
208947;08240813335200092360;08;3;35;063;2024;08;18;3;3;2;6;0;0;1;0;0;0;0;0;497774,918300000019372;5287577,632699999958277;8,970319300000028;47,741567781000072;1
208948;08240813326400161420;08;3;26;074;2024;08;11;3;2;6;7;0;0;0;0;1;0;0;1;460579,962399999611080;5320373,737500000745058;8,471186416000023;48,035433039000054;1
208949;08240813325202090040;08;3;25;049;2024;08;14;3;3;8;1;0;0;1;0;0;0;0;0;471233,156799999997020;5335362,994899999350309;8,613082615000053;48,170857580000074;1
208950;08240813317500158850;08;3;17;096;2024;08;13;3;3;0;1;0;0;1;0;0;0;0;0;422393,521999999880791;5369460,084000000730157;7,949985081000023;48,473479469000040;1
208953;08240829311010132610;08;3;15;098;2024;08;12;5;3;5;3;0;0;1;1;0;0;0;0;405881,955699999816716;5312677,707499999552965;7,739240006000045;47,960487554000053;1
208955;08240813311010114220;08;3;15;131;2024;08;08;3;3;5;2;0;0;1;1;0;0;0;0;405390,584300000220537;5308337,791600000113249;7,733613420000040;47,921377239000037;1
208959;08240813311000096410;08;3;15;006;2024;08;14;3;3;4;6;0;0;1;0;0;1;0;0;403104,194600000046194;5308623,082000000402331;7,702952999000047;47,923601903000076;1
208960;08240813231000099470;08;2;31;000;2024;08;15;3;3;6;3;0;0;0;1;1;0;0;0;477785,978000000119209;5415334,194099999964237;8,696954499000071;48,890559633000066;1
208961;08240813226100101640;08;2;26;013;2024;08;14;3;3;3;3;0;0;1;1;0;0;0;0;499129,114000000059605;5479092,226600000634789;8,987981144000059;49,464482259000079;1
208963;08240813215402090480;08;2;15;103;2024;08;10;3;3;5;3;0;0;1;1;0;0;0;0;465364,622999999672174;5441553,582499999552965;8,525269392000041;49,125841019000063;1
208964;08240813212010148700;08;2;12;000;2024;08;20;3;2;0;7;1;1;1;0;0;0;0;0;463263,826999999582767;5428148,043999999761581;8,497692834000077;49,005133975000035;1
208965;08240813136000102600;08;1;36;065;2024;08;22;3;3;0;1;2;0;1;0;0;0;0;0;556575,606999999843538;5407685,698999999091029;9,770721222000077;48,819576738000080;1
208966;08240813128100102690;08;1;28;007;2024;08;10;3;3;5;3;0;0;1;1;0;0;0;0;556687,700299999676645;5481721,345699999481440;9,782669585000065;49,485483746000057;1
208969;08240814119200104920;08;1;19;020;2024;08;11;4;3;5;3;0;0;1;0;0;0;0;1;519493,846300000324845;5408507,053400000557303;9,265611929000045;48,829236002000073;1
208970;08240813119400116420;08;1;19;091;2024;08;11;3;3;0;1;0;0;1;0;0;0;0;0;525854,286999999545515;5405198,700999999418855;9,352065677000041;48,799242692000064;1
208972;08240813118200100870;08;1;18;080;2024;08;09;3;3;5;3;0;0;1;1;0;0;0;0;509464,067400000058115;5408653,694000000134110;9,128955873000052;48,830789018000075;1
