Unfall_ID;Original_Unfall_ID;Datum + Uhrzeit;Koordinaten Breitengrad;Koordinaten Längengrad;Gemeinde;Anzahl der Getöteten;Anzahl der Schwerverletzten;Anzahl der Leichtverletzten;Anzahl Beteiligte;Unfallart;Charakteristik;Besonderheiten;Lichtzeichenanlage;Lichtverhältnisse;Straßenzustand;Aufprall auf Hindernis;Unfallkategorie;Unfalltyp;Beteiligter 1: Ursachen;Beteiligter 2: Ursachen;Beteiligter 1: Verkehrsbeteiligung;Beteiligter 2: Verkehrsbeteiligung;beteiligt_fuss;beteiligt_fahrrad;beteiligt_pkw;beteiligt_sonst_kfz;beteiligt_sonst;Anzahl Fahrrad;Anzahl zu Fuß;Anzahl Pkw;Anzahl Pkw/Lkw/Bus;Anzahl sonstige Kfz;Anzahl sonstige;Anzahl sonstige Verkehrsmittel
12320;BWPV220002040582;2022-12-19T10:15:00Z;;;Karlsruhe, Stadt;0;1;1;2;Zusammenstoß mit einbiegendem/kreuzendem Fahrzeug;Grundstücksein-/ausfahrt;;;;;kein Aufprall;Unfall mit Schwerverletzten;Einbiege-/Kreuzen-Unfall;;;;;FALSE;TRUE;;;;2;0;;0;;;0
12321;BWPV220002042027;2022-12-12T09:15:00Z;;;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß mit einbiegendem/kreuzendem Fahrzeug;;Schienengleicher Wegübergang;Lichtzeichenanlage in Betrieb;;;kein Aufprall;Unfall mit Leichtverletzten;Einbiege-/Kreuzen-Unfall;;;;;FALSE;TRUE;;;;1;0;;0;;;1
12322;BWPV220002042761;2022-12-14T13:15:00Z;;;Karlsruhe, Stadt;0;0;1;1;Unfall anderer Art;Kreuzung;;;;;kein Aufprall;Unfall mit Leichtverletzten;Fahrunfall;;;;;FALSE;TRUE;;;;1;0;;0;;;0
12323;BWPV220002042955;2022-12-24T09:20:00Z;;;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß mit einbiegendem/kreuzendem Fahrzeug;Kreuzung;;;;;kein Aufprall;Unfall mit Leichtverletzten;Einbiege-/Kreuzen-Unfall;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12324;BWPV220002043059;2022-12-25T00:35:00Z;;;Karlsruhe, Stadt;0;0;0;3;Zusammenstoß mit anfahrendem/anhaltendem/ruhendem Fahrzeug;;;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Unfall durch ruhenden Verkehr;;;;;FALSE;TRUE;;;;1;0;;2;;;0
12325;BWPV220002044507;2022-11-16T12:45:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit einbiegendem/kreuzendem Fahrzeug;Einmündung;;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Einbiege-/Kreuzen-Unfall;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12326;BWPV220002046355;2022-10-24T07:25:00Z;;;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß zwischen Fahrzeug und Fußgänger;Kreuzung;;;;;kein Aufprall;Unfall mit Leichtverletzten;Sonstiger Unfall;;;;;TRUE;FALSE;;;;0;1;;1;;;0
12327;BWPV220002046364;2022-12-05T16:40:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit vorausfahrendem/wartendem Fahrzeug;Kreuzung;;Lichtzeichenanlage in Betrieb;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Sonstiger Unfall;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12328;BWPV220002046605;2022-12-29T09:34:00Z;;;Karlsruhe, Stadt;0;0;0;2;Unfall anderer Art;Grundstücksein-/ausfahrt;;;;;sonstiges Hindernis;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Sonstiger Unfall;;;;;TRUE;FALSE;;;;0;1;;1;;;0
12329;BWPV220002047215;2022-12-30T15:49:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit einbiegendem/kreuzendem Fahrzeug;Einmündung;Radverkehrsanlage auf der Fahrbahn;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Einbiege-/Kreuzen-Unfall;;;;;FALSE;TRUE;;;;1;0;;1;;;0
